G15-G15 G922-G922 {'weight': 1, 'layer': 1}
G15-G15 G953-G953 {'weight': 1, 'layer': 1}
G21-G21 G40-G40 {'weight': 1, 'layer': 1}
G21-G21 G427-G427 {'weight': 1, 'layer': 1}
G21-G21 G880-G880 {'weight': 1, 'layer': 1}
G23-G23 G41-G41 {'weight': 1, 'layer': 1}
G23-G23 G53-G53 {'weight': 1, 'layer': 1}
G23-G23 G228-G228 {'weight': 1, 'layer': 1}
G23-G23 G510-G510 {'weight': 1, 'layer': 1}
G23-G23 G652-G652 {'weight': 1, 'layer': 1}
G23-G23 G699-G699 {'weight': 1, 'layer': 1}
G23-G23 G823-G823 {'weight': 1, 'layer': 1}
G23-G23 H131-H131 {'weight': 0.9, 'layer': 3}
G25-G25 G206-G206 {'weight': 1, 'layer': 1}
G25-G25 G446-G446 {'weight': 1, 'layer': 1}
G25-G25 G468-G468 {'weight': 1, 'layer': 1}
G25-G25 G491-G491 {'weight': 1, 'layer': 1}
G25-G25 G722-G722 {'weight': 1, 'layer': 1}
G25-G25 G785-G785 {'weight': 1, 'layer': 1}
G31-G31 G964-G964 {'weight': 1, 'layer': 1}
G62-G62 G180-G180 {'weight': 1, 'layer': 1}
G62-G62 G897-G897 {'weight': 1, 'layer': 1}
G70-G70 G154-G154 {'weight': 1, 'layer': 1}
G70-G70 G338-G338 {'weight': 1, 'layer': 1}
G70-G70 G479-G479 {'weight': 1, 'layer': 1}
G70-G70 G830-G830 {'weight': 1, 'layer': 1}
G126-G126 G403-G403 {'weight': 1, 'layer': 1}
G126-G126 G993-G993 {'weight': 1, 'layer': 1}
G126-G126 H66-H66 {'weight': 0.9, 'layer': 3}
G128-G128 G155-G155 {'weight': 1, 'layer': 1}
G128-G128 G236-G236 {'weight': 1, 'layer': 1}
G128-G128 G390-G390 {'weight': 1, 'layer': 1}
G128-G128 G397-G397 {'weight': 1, 'layer': 1}
G128-G128 H420-H420 {'weight': 0.9, 'layer': 3}
G147-G147 G193-G193 {'weight': 1, 'layer': 1}
G171-G171 G257-G257 {'weight': 1, 'layer': 1}
G183-G183 G313-G313 {'weight': 1, 'layer': 1}
G183-G183 G571-G571 {'weight': 1, 'layer': 1}
G183-G183 G618-G618 {'weight': 1, 'layer': 1}
G300-G300 G996-G996 {'weight': 1, 'layer': 1}
G355-G355 G949-G949 {'weight': 1, 'layer': 1}
G355-G355 H877-H877 {'weight': 0.9, 'layer': 3}
G395-G395 G542-G542 {'weight': 1, 'layer': 1}
G431-G431 H988-H988 {'weight': 0.9, 'layer': 3}
G435-G435 G556-G556 {'weight': 1, 'layer': 1}
G435-G435 G617-G617 {'weight': 1, 'layer': 1}
G435-G435 G973-G973 {'weight': 1, 'layer': 1}
G451-G451 G804-G804 {'weight': 1, 'layer': 1}
G451-G451 G863-G863 {'weight': 1, 'layer': 1}
G506-G506 H961-H961 {'weight': 0.9, 'layer': 3}
G551-G551 H408-H408 {'weight': 0.9, 'layer': 3}
G633-G633 G749-G749 {'weight': 1, 'layer': 1}
G695-G695 H491-H491 {'weight': 0.9, 'layer': 3}
G776-G776 H825-H825 {'weight': 0.9, 'layer': 3}
G911-G911 H835-H835 {'weight': 0.9, 'layer': 3}
G5-G5 G68-G68 {'weight': 1, 'layer': 1}
G19-G19 G56-G56 {'weight': 1, 'layer': 1}
G19-G19 G105-G105 {'weight': 1, 'layer': 1}
G19-G19 G442-G442 {'weight': 1, 'layer': 1}
G19-G19 G682-G682 {'weight': 1, 'layer': 1}
G174-G174 G495-G495 {'weight': 1, 'layer': 1}
G227-G227 G779-G779 {'weight': 1, 'layer': 1}
G405-G405 H554-H554 {'weight': 0.9, 'layer': 3}
G46-G46 G106-G106 {'weight': 1, 'layer': 1}
G90-G90 G622-G622 {'weight': 1, 'layer': 1}
G102-G102 G623-G623 {'weight': 1, 'layer': 1}
G122-G122 G212-G212 {'weight': 1, 'layer': 1}
G122-G122 G279-G279 {'weight': 1, 'layer': 1}
G122-G122 H429-H429 {'weight': 0.9, 'layer': 3}
G134-G134 G138-G138 {'weight': 1, 'layer': 1}
G134-G134 G240-G240 {'weight': 1, 'layer': 1}
G134-G134 G926-G926 {'weight': 1, 'layer': 1}
G168-G168 G209-G209 {'weight': 1, 'layer': 1}
G168-G168 G251-G251 {'weight': 1, 'layer': 1}
G168-G168 G383-G383 {'weight': 1, 'layer': 1}
G168-G168 H734-H734 {'weight': 0.9, 'layer': 3}
G245-G245 G415-G415 {'weight': 1, 'layer': 1}
G247-G247 H713-H713 {'weight': 0.9, 'layer': 3}
G280-G280 G330-G330 {'weight': 1, 'layer': 1}
G280-G280 G476-G476 {'weight': 1, 'layer': 1}
G280-G280 H784-H784 {'weight': 0.9, 'layer': 3}
G587-G587 H730-H730 {'weight': 0.9, 'layer': 3}
G4-G4 G27-G27 {'weight': 1, 'layer': 1}
G4-G4 G55-G55 {'weight': 1, 'layer': 1}
G4-G4 G146-G146 {'weight': 1, 'layer': 1}
G4-G4 G152-G152 {'weight': 1, 'layer': 1}
G4-G4 G177-G177 {'weight': 1, 'layer': 1}
G4-G4 G238-G238 {'weight': 1, 'layer': 1}
G4-G4 G322-G322 {'weight': 1, 'layer': 1}
G4-G4 G329-G329 {'weight': 1, 'layer': 1}
G4-G4 G466-G466 {'weight': 1, 'layer': 1}
G4-G4 G477-G477 {'weight': 1, 'layer': 1}
G4-G4 G499-G499 {'weight': 1, 'layer': 1}
G4-G4 G511-G511 {'weight': 1, 'layer': 1}
G4-G4 G563-G563 {'weight': 1, 'layer': 1}
G4-G4 G572-G572 {'weight': 1, 'layer': 1}
G4-G4 G702-G702 {'weight': 1, 'layer': 1}
G4-G4 G810-G810 {'weight': 1, 'layer': 1}
G4-G4 G916-G916 {'weight': 1, 'layer': 1}
